aback,raise!-(92-E3.9-M9-S15)-cloam-(4-E1.0-M1-S4)-abuna-(1-E1.0-M1-S1)-aback!,4
abase,raise!-(8-E1.0-M1-S8)-butch-(1-E1.0-M1-S1)-abase!,3
abate,raise!-(41-E3.8-M8-S9)-black-(1-E1.0-M1-S1)-abate!,3
abbey,raise!-(69-E3.2-M6-S17)-tepal-(6-E1.0-M1-S6)-abamp-(1-E1.0-M1-S1)-abbey!,4
abbot,raise!-(92-E3.9-M9-S15)-cloam-(4-E1.0-M1-S4)-aarti-(1-E1.0-M1-S1)-abbot!,4
abhor,raise!-(78-E4.7-M9-S13)-tronc-(9-E1.0-M1-S9)-myrrh-(1-E1.0-M1-S1)-abhor!,4
abide,raise!-(5-E1.0-M1-S5)-alkyd-(1-E1.0-M1-S1)-abide!,3
abled,raise!-(69-E3.2-M6-S17)-tepal-(2-E1.0-M1-S2)-aahed-(1-E1.0-M1-S1)-abled!,4
abode,raise!-(41-E3.8-M8-S9)-black-(3-E1.0-M1-S3)-aband-(1-E1.0-M1-S1)-abode!,4
abort,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-abort!,3
about,raise!-(92-E3.9-M9-S15)-cloam-(5-E1.0-M1-S5)-abaft-(1-E1.0-M1-S1)-about!,4
above,raise!-(41-E3.8-M8-S9)-black-(3-E1.0-M1-S3)-aband-(1-E1.0-M1-S1)-above!,4
abuse,raise!-(8-E1.0-M1-S8)-butch-(1-E1.0-M1-S1)-abuse!,3
abyss,raise!-(22-E2.3-M4-S8)-shalt-(1-E1.0-M1-S1)-abyss!,3
acorn,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-acorn!,3
acrid,raise!-(18-E1.7-M3-S9)-gland-(1-E1.0-M1-S1)-acrid!,3
actor,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-actor!,3
acute,raise!-(41-E3.8-M8-S9)-black-(1-E1.0-M1-S1)-acute!,3
