aback,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.0-M1-S4)-abuna-(1-E1.0-M1-S1)-aback!,4
abase,raise!-(8-E1.8-M2-S2)-cease!-(2-E1.0-M1-S2)-abase!,3
abate,raise!-(41-E4.8-M9-S6)-plate!-(3-E1.0-M1-S3)-abate!,3
abbey,raise!-(69-E3.3-M6-S15)-cleat!-(6-E1.3-M2-S4)-beady!-(1-E1.0-M1-S1)-abbey!,4
abbot,raise!-(92-E4.2-M7-S8)-cloak!-(5-E1.0-M1-S5)-annoy!-(1-E1.0-M1-S1)-abbot!,4
abhor,raise!-(78-E4.7-M9-S13)-tronc-(9-E1.4-M2-S5)-borax!-(1-E1.0-M1-S1)-abhor!,4
abide,raise!-(5-E1.4-M2-S3)-alike!-(2-E1.0-M1-S2)-abide!,3
abled,raise!-(69-E3.3-M6-S15)-cleat!-(6-E1.0-M1-S6)-fella!-(1-E1.0-M1-S1)-abled!,4
abode,raise!-(41-E4.8-M9-S6)-plate!-(5-E1.0-M1-S5)-abode!,3
abort,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-abort!,3
about,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.7-M2-S2)-about!,3
above,raise!-(41-E4.8-M9-S6)-plate!-(5-E1.0-M1-S5)-abode!-(1-E1.0-M1-S1)-above!,4
abuse,raise!-(8-E1.8-M2-S2)-cease!-(2-E1.0-M1-S2)-abuse!,3
abyss,raise!-(22-E2.3-M3-S6)-slash!-(1-E1.0-M1-S1)-abyss!,3
acorn,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-acorn!,3
acrid,raise!-(18-E2.2-M4-S7)-trail!-(1-E1.0-M1-S1)-acrid!,3
actor,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-actor!,3
acute,raise!-(41-E4.8-M9-S6)-plate!-(1-E1.0-M1-S1)-acute!,3
adage,raise!-(41-E4.8-M9-S6)-plate!-(9-E1.9-M3-S4)-awake!-(2-E1.0-M1-S2)-adage!,4
adapt,raise!-(92-E4.2-M7-S8)-cloak!-(5-E1.0-M1-S5)-adapt!,3
adept,raise!-(69-E3.3-M6-S15)-cleat!-(2-E1.0-M1-S2)-adept!,3
admin,raise!-(34-E2.4-M4-S13)-tidal!-(3-E1.0-M1-S3)-aphid!-(1-E1.0-M1-S1)-admin!,4
admit,raise!-(34-E2.4-M4-S13)-tidal!-(1-E1.0-M1-S1)-admit!,3
adobe,raise!-(41-E4.8-M9-S6)-plate!-(5-E1.0-M1-S5)-abode!-(1-E1.0-M1-S1)-adobe!,4
adopt,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.7-M2-S2)-about!-(2-E1.0-M1-S2)-adopt!,4
adore,raise!-(26-E3.8-M6-S4)-grace!-(2-E1.0-M1-S2)-adore!,3
adorn,raise!-(78-E4.7-M9-S13)-tronc-(1-E1.0-M1-S1)-adorn!,3
adult,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.3-M2-S5)-amply!-(1-E1.0-M1-S1)-adult!,4
affix,raise!-(34-E2.4-M4-S13)-tidal!-(4-E1.0-M1-S4)-affix!,3
afire,raise!-(1-E1.0-M1-S1)-afire!,2
afoot,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.7-M2-S2)-about!-(2-E1.0-M1-S2)-adopt!-(1-E1.0-M1-S1)-afoot!,5
afoul,raise!-(92-E4.2-M7-S8)-cloak!-(2-E1.0-M1-S2)-afoul!,3
after,raise!-(34-E3.5-M7-S8)-tread!-(4-E1.0-M1-S4)-after!,3
again,raise!-(34-E2.4-M4-S13)-tidal!-(4-E1.0-M1-S4)-affix!-(1-E1.0-M1-S1)-again!,4
agape,raise!-(41-E4.8-M9-S6)-plate!-(1-E1.0-M1-S1)-agape!,3
agate,raise!-(41-E4.8-M9-S6)-plate!-(3-E1.0-M1-S3)-abate!-(1-E1.0-M1-S1)-agate!,4
agent,raise!-(69-E3.3-M6-S15)-cleat!-(2-E1.0-M1-S2)-adept!-(1-E1.0-M1-S1)-agent!,4
agile,raise!-(5-E1.4-M2-S3)-alike!-(1-E1.0-M1-S1)-agile!,3
aging,raise!-(12-E1.5-M2-S6)-align!-(2-E1.0-M1-S2)-aging!,3
aglow,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.0-M1-S3)-loamy!-(1-E1.0-M1-S1)-aglow!,4
agony,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.7-M2-S2)-about!-(2-E1.0-M1-S2)-agony!,4
agora,raise!-(78-E4.7-M9-S13)-tronc-(2-E1.0-M1-S2)-agora!,3
agree,raise!-(26-E3.8-M6-S4)-grace!-(1-E1.0-M1-S1)-agree!,3
ahead,raise!-(69-E3.3-M6-S15)-cleat!-(2-E1.0-M1-S2)-ahead!,3
aider,raise!-(1-E1.0-M1-S1)-aider!,2
aisle,raise!-(1-E1.0-M1-S1)-aisle!,2
alarm,raise!-(78-E4.7-M9-S13)-tronc-(9-E1.0-M1-S9)-award!-(1-E1.0-M1-S1)-alarm!,4
album,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.3-M2-S5)-alpha!-(1-E1.0-M1-S1)-album!,4
alert,raise!-(34-E3.5-M7-S8)-tread!-(2-E1.0-M1-S2)-alert!,3
algae,raise!-(41-E4.8-M9-S6)-plate!-(2-E1.0-M1-S2)-algae!,3
alibi,raise!-(12-E1.5-M2-S6)-align!-(1-E1.0-M1-S1)-alibi!,3
alien,raise!-(1-E1.0-M1-S1)-alien!,2
align,raise!-(12-E1.5-M2-S6)-align!,2
alike,raise!-(5-E1.4-M2-S3)-alike!,2
alive,raise!-(5-E1.4-M2-S3)-alike!-(1-E1.0-M1-S1)-alive!,3
allay,raise!-(92-E4.2-M7-S8)-cloak!-(1-E1.0-M1-S1)-allay!,3
alley,raise!-(69-E3.3-M6-S15)-cleat!-(1-E1.0-M1-S1)-alley!,3
allot,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.7-M2-S1)-allot!,3
allow,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.7-M2-S1)-allot!-(2-E1.0-M1-S2)-allow!,4
alloy,raise!-(92-E4.2-M7-S8)-cloak!-(3-E1.7-M2-S1)-allot!-(2-E1.0-M1-S2)-allow!-(1-E1.0-M1-S1)-alloy!,5
aloft,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.5-M2-S2)-aloft!,3
alone,raise!-(41-E4.8-M9-S6)-plate!-(2-E1.0-M1-S2)-algae!-(1-E1.0-M1-S1)-alone!,4
along,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.5-M2-S2)-aloft!-(2-E1.0-M1-S2)-along!,4
aloof,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.5-M2-S2)-aloft!-(1-E1.0-M1-S1)-aloof!,4
aloud,raise!-(92-E4.2-M7-S8)-cloak!-(4-E1.5-M2-S2)-aloft!-(2-E1.0-M1-S2)-along!-(1-E1.0-M1-S1)-aloud!,5
alpha,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.3-M2-S5)-alpha!,3
altar,raise!-(78-E4.7-M9-S13)-tronc-(4-E1.0-M1-S4)-altar!,3
alter,raise!-(34-E3.5-M7-S8)-tread!-(4-E1.0-M1-S4)-after!-(1-E1.0-M1-S1)-alter!,4
amass,raise!-(22-E2.3-M3-S6)-slash!-(1-E1.0-M1-S1)-amass!,3
amaze,raise!-(41-E4.8-M9-S6)-plate!-(9-E1.9-M3-S4)-awake!-(2-E1.0-M1-S2)-adage!-(1-E1.0-M1-S1)-amaze!,5
amber,raise!-(34-E3.5-M7-S8)-tread!-(7-E1.0-M1-S7)-learn!-(1-E1.0-M1-S1)-amber!,4
amble,raise!-(41-E4.8-M9-S6)-plate!-(3-E1.0-M1-S3)-angle!-(1-E1.0-M1-S1)-amble!,4
amend,raise!-(69-E3.3-M6-S15)-cleat!-(4-E1.0-M1-S4)-amend!,3
amiss,raise!-(1-E1.0-M1-S1)-amiss!,2
amity,raise!-(12-E1.5-M2-S6)-align!-(2-E1.0-M1-S2)-amity!,3
among,raise!-(92-E4.2-M7-S8)-cloak!-(6-E1.7-M2-S2)-about!-(2-E1.0-M1-S2)-agony!-(1-E1.0-M1-S1)-among!,5
ample,raise!-(41-E4.8-M9-S6)-plate!-(2-E1.0-M1-S2)-ample!,3
amply,raise!-(92-E4.2-M7-S8)-cloak!-(7-E1.3-M2-S5)-amply!,3
amuse,raise!-(8-E1.8-M2-S2)-cease!-(2-E1.0-M1-S2)-abuse!-(1-E1.0-M1-S1)-amuse!,4
angel,raise!-(69-E3.3-M6-S15)-cleat!-(6-E1.0-M1-S6)-fella!-(1-E1.0-M1-S1)-angel!,4
anger,raise!-(34-E3.5-M7-S8)-tread!-(7-E1.0-M1-S7)-learn!-(1-E1.0-M1-S1)-anger!,4
angle,raise!-(41-E4.8-M9-S6)-plate!-(3-E1.0-M1-S3)-angle!,3
angry,raise!-(78-E4.7-M9-S13)-tronc-(2-E1.0-M1-S2)-angry!,3
angst,raise!-(22-E2.3-M3-S6)-slash!-(1-E1.0-M1-S1)-angst!,3
anime,raise!-(5-E1.4-M2-S3)-alike!-(2-E1.0-M1-S2)-abide!-(1-E1.0-M1-S1)-anime!,4
ankle,raise!-(41-E4.8-M9-S6)-plate!-(3-E1.0-M1-S3)-angle!-(1-E1.0-M1-S1)-ankle!,4
